"Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"RD Berrington (Scot)","28","-","40","3","0","70.00","1","","v Ireland","Dubai (DSC)","12 Jan 2015",""
"PR Stirling (Ire)","28","-","21","3","1","133.33","2","","v Scotland","Dubai (DSC)","12 Jan 2015",""
"JC Buttler (Eng)","28","68","60","0","0","46.66","1","","v Australia","Sydney","16 Jan 2015",""
"BB McCullum (NZ)","28","31","22","2","2","127.27","1","","v Sri Lanka","Auckland","17 Jan 2015",""
"MJ Guptill (NZ)","28","64","43","4","0","65.11","1","","v Sri Lanka","Dunedin","25 Jan 2015",""
"GD Elliott (NZ)","28","37","21","0","2","133.33","1","","v Pakistan","Napier","3 Feb 2015",""
"Soumya Sarkar (Ban)","28","51","25","3","1","112.00","1","","v Afghanistan","Canberra","18 Feb 2015",""
"Shahid Afridi (Pak)","28","50","26","4","0","107.69","2","","v West Indies","Christchurch","21 Feb 2015",""
"Mirwais Ashraf (Afg)","28","39","32","1","2","87.50","1","","v Sri Lanka","Dunedin","22 Feb 2015",""
"JF Mooney (Ire)","27*","-","29","6","0","93.10","2","","v Scotland","Dublin","10 Sep 2014",""
"HDRL Thirimanne (SL)","27*","33","22","3","0","122.72","1","","v England","Colombo (RPS)","26 Nov 2014",""
"AD Russell (WI)","27*","29","13","3","1","207.69","1","","v Ireland","Nelson","16 Feb 2015",""
"Asghar Stanikzai (Afg)","27","41","34","5","0","79.41","2","","v Sri Lanka","Dhaka","3 Mar 2014",""
"DJ Bravo (WI)","27","34","32","3","0","84.37","2","","v England","North Sound","5 Mar 2014",""
"Salman Faris (UAE)","27","-","46","3","0","58.69","2","","v Afghanistan","Kuala Lumpur","2 May 2014",""
"SK Raina (India)","27","44","23","3","0","117.39","1","","v Bangladesh","Dhaka","17 Jun 2014",""
"CA Pujara (India)","27","108","63","2","0","42.85","1","","v Bangladesh","Dhaka","19 Jun 2014",""
"Q de Kock (SA)","27","53","35","3","1","77.14","1","","v Sri Lanka","Colombo (RPS)","6 Jul 2014",""
"Mahmudullah (Ban)","27","65","38","2","1","71.05","2","","v West Indies","Basseterre","25 Aug 2014",""
"WU Tharanga (SL)","27","61","30","5","0","90.00","1","","v Pakistan","Hambantota","26 Aug 2014",""
"MR Marsh (Aus)","27","67","46","1","1","58.69","1","","v South Africa","Harare","6 Sep 2014",""
"AT Rayudu (India)","27","22","20","3","0","135.00","1","","v Sri Lanka","Cuttack","2 Nov 2014",""
"Mushfiqur Rahim (Ban)","27","46","29","1","1","93.10","1","","v Zimbabwe","Chittagong","23 Nov 2014",""
"AR Berenger (UAE)","27","-","45","3","0","60.00","1","","v Afghanistan","Dubai (CA)","2 Dec 2014",""
"AD Hales (Eng)","27","53","29","2","1","93.10","2","","v Sri Lanka","Hambantota","3 Dec 2014",""
"Shafiqullah (Afg)","27","-","23","1","2","117.39","2","","v U.A.E.","Dubai (CA)","4 Dec 2014",""
"DL Vettori (NZ)","27","35","25","3","0","108.00","1","","v Pakistan","Dubai (DSC)","8 Dec 2014",""
"NLTC Perera (SL)","27","28","17","4","1","158.82","1","","v England","Pallekele","10 Dec 2014",""
"Shahid Afridi (Pak)","27","20","14","1","3","192.85","1","","v New Zealand","Sharjah","12 Dec 2014",""
"DPMD Jayawardene (SL)","27","31","29","5","0","93.10","2","","v New Zealand","Hamilton","15 Jan 2015",""
"DJG Sammy (WI)","27","45","25","5","0","108.00","2","","v South Africa","Centurion","28 Jan 2015",""
"SF Mire (Zim)","27","28","25","2","2","108.00","2","","v South Africa","Hamilton","15 Feb 2015",""
"Nawroz Mangal (Afg)","27","88","57","1","0","47.36","2","","v Bangladesh","Canberra","18 Feb 2015",""
"MN Samuels (WI)","26*","-","21","4","1","123.80","2","","v Ireland","Kingston","23 Feb 2014",""
"JC Buttler (Eng)","26*","38","20","1","1","130.00","1","","v Sri Lanka","The Oval","22 May 2014",""
"JP Faulkner (Aus)","26*","46","37","3","0","70.27","2","","v Pakistan","Dubai (DSC)","10 Oct 2014",""
"Shaiman Anwar (UAE)","26*","-","27","1","1","96.29","2","","v Afghanistan","Dubai (CA)","28 Nov 2014",""
"AR Cusack (Ire)","26*","-","37","4","0","70.27","2","","v Afghanistan","Dubai (DSC)","10 Jan 2015",""
"Sharjeel Khan (Pak)","26","30","23","4","1","113.04","2","","v Sri Lanka","Fatullah","25 Feb 2014",""
"LD Chandimal (SL)","26","60","41","1","0","63.41","1","","v Afghanistan","Dhaka","3 Mar 2014",""
"Mohammad Mithun (Ban)","26","67","39","5","0","66.66","2","","v India","Dhaka","17 Jun 2014",""
"Tamim Iqbal (Ban)","26","50","47","3","0","55.31","1","","v West Indies","St George's","20 Aug 2014",""
"Nasir Hossain (Ban)","26","51","38","2","0","68.42","1","","v West Indies","St George's","20 Aug 2014",""
"KA Pollard (WI)","26","31","20","2","1","130.00","1","","v Bangladesh","St George's","22 Aug 2014",""
"Nasir Hossain (Ban)","26","34","28","3","0","92.85","2","","v West Indies","Basseterre","25 Aug 2014",""
"DPMD Jayawardene (SL)","26","33","32","3","0","81.25","2","","v Pakistan","Dambulla","30 Aug 2014",""
"BCJ Cutting (Aus)","26","26","22","2","1","118.18","1","","v Zimbabwe","Harare","31 Aug 2014",""
"H Masakadza (Zim)","26","38","33","0","1","78.78","2","","v South Africa","Harare","4 Sep 2014",""
"DM Bravo (WI)","26","52","44","2","0","59.09","2","","v India","Delhi","11 Oct 2014",""
"Ahmed Shehzad (Pak)","26","46","41","3","0","63.41","2","","v Australia","Abu Dhabi","12 Oct 2014",""
"RR Rossouw (SA)","26","34","31","3","0","83.87","2","","v New Zealand","Mount Maunganui","21 Oct 2014",""
"Q de Kock (SA)","26","54","33","3","0","78.78","1","","v New Zealand","Mount Maunganui","24 Oct 2014",""
"RW Chakabva (Zim)","26","62","34","2","0","76.47","2","","v Bangladesh","Dhaka","28 Nov 2014",""
"TM Dilshan (SL)","26","35","23","5","0","113.04","2","","v England","Colombo (RPS)","29 Nov 2014",""
"Mohammad Nabi (Afg)","26","-","41","1","0","63.41","2","","v U.A.E.","Dubai (CA)","2 Dec 2014",""
"AP Devcich (NZ)","26","66","38","2","0","68.42","1","","v Pakistan","Dubai (DSC)","8 Dec 2014",""
"Sarfraz Ahmed (Pak)","26","20","19","3","0","136.84","2","","v New Zealand","Dubai (DSC)","8 Dec 2014",""
"LRPL Taylor (NZ)","26","50","37","2","0","70.27","1","","v Pakistan","Abu Dhabi","17 Dec 2014",""
"Sarfraz Ahmed (Pak)","26","41","24","2","0","108.33","2","","v New Zealand","Abu Dhabi","19 Dec 2014",""
"MN Samuels (WI)","26","63","38","4","0","68.42","1","","v South Africa","East London","21 Jan 2015",""
"KS Williamson (NZ)","26","60","32","4","0","81.25","1","","v Sri Lanka","Dunedin","23 Jan 2015",""
"FDM Karunaratne (SL)","26","33","34","2","0","76.47","2","","v New Zealand","Dunedin","25 Jan 2015",""
"MM Ali (Eng)","26","44","30","5","0","86.66","2","","v Australia","Perth","1 Feb 2015",""
"STR Binny (India)","25*","46","36","4","0","69.44","1","","v Bangladesh","Dhaka","19 Jun 2014",""
"Samiullah Shenwari (Afg)","25*","-","17","1","1","147.05","1","","v U.A.E.","Dubai (CA)","28 Nov 2014",""
"Saqib Ali (UAE)","25*","-","33","4","0","75.75","2","","v Afghanistan","Dubai (CA)","30 Nov 2014",""
"NL McCullum (NZ)","25*","73","47","1","0","53.19","2","","v Sri Lanka","Christchurch","11 Jan 2015",""
"DJG Sammy (WI)","25*","51","41","3","0","60.97","2","","v South Africa","Johannesburg","18 Jan 2015",""
"Amjad Javed (UAE)","25*","27","19","3","1","131.57","1","","v Zimbabwe","Nelson","19 Feb 2015",""
"Shamsur Rahman (Ban)","25","68","44","2","0","56.81","1","","v Sri Lanka","Dhaka","22 Feb 2014",""
"WTS Porterfield (Ire)","25","-","34","2","2","73.52","1","","v West Indies","Kingston","23 Feb 2014",""
"EC Joyce (Ire)","25","-","44","2","0","56.81","1","","v West Indies","Kingston","23 Feb 2014",""
"Sharjeel Khan (Pak)","25","55","37","2","1","67.56","1","","v Afghanistan","Fatullah","27 Feb 2014",""
"Sharjeel Khan (Pak)","25","47","30","3","1","83.33","2","","v India","Dhaka","2 Mar 2014",""
"SK Raina (India)","25","45","25","3","0","100.00","1","","v Bangladesh","Dhaka","19 Jun 2014",""
"SMA Priyanjan (SL)","25","24","15","2","1","166.66","1","","v South Africa","Pallekele","9 Jul 2014",""
"N Madziva (Zim)","25","43","37","4","0","67.56","2","","v South Africa","Bulawayo","19 Aug 2014",""
"KC Sangakkara (SL)","25","43","40","4","0","62.50","1","","v Pakistan","Hambantota","23 Aug 2014",""
"H Masakadza (Zim)","25","32","33","3","1","75.75","2","","v South Africa","Harare","29 Aug 2014",""
"CS MacLeod (Scot)","25","-","28","4","0","89.28","1","","v Ireland","Dublin","8 Sep 2014",""
"GO Jones (PNG)","25","-","55","1","0","45.45","2","","v Hong Kong","Townsville","9 Nov 2014",""
"GJ Bailey (Aus)","25","57","45","2","0","55.55","1","","v South Africa","Perth","16 Nov 2014",""
"Samiullah Shenwari (Afg)","25","-","28","3","0","89.28","1","","v U.A.E.","Dubai (CA)","30 Nov 2014",""
"Usman Ghani (Afg)","25","-","33","3","0","75.75","2","","v Scotland","Abu Dhabi","14 Jan 2015",""
"BB McCullum (NZ)","25","51","37","5","0","67.56","1","","v Sri Lanka","Dunedin","23 Jan 2015",""
"JC Buttler (Eng)","25","38","24","2","0","104.16","1","","v Australia","Hobart","23 Jan 2015",""
"Mohammed Shami (India)","25","18","18","3","1","138.88","1","","v England","Perth","30 Jan 2015",""
"JE Root (Eng)","25","46","37","2","0","67.56","2","","v Australia","Perth","1 Feb 2015",""
"AB de Villiers (SA)","25","53","36","1","1","69.44","1","","v Zimbabwe","Hamilton","15 Feb 2015",""
"Dawlat Zadran (Afg)","24*","21","7","0","4","342.85","2","","v Zimbabwe","Bulawayo","22 Jul 2014",""
"DR Smith (WI)","24","40","32","3","1","75.00","1","","v England","North Sound","28 Feb 2014",""
"Nawroz Mangal (Afg)","24","33","33","3","0","72.72","1","","v Bangladesh","Fatullah","1 Mar 2014",""
"DJG Sammy (WI)","24","45","35","2","1","68.57","2","","v England","North Sound","5 Mar 2014",""
"SMA Priyanjan (SL)","24","47","38","3","0","63.15","2","","v Bangladesh","Dhaka","6 Mar 2014",""
"Nizakat Khan (HK)","24","-","51","1","0","47.05","1","","v Afghanistan","Kuala Lumpur","1 May 2014",""
"WU Tharanga (SL)","24","-","52","3","0","46.15","1","","v Ireland","Dublin","6 May 2014",""
"Shafiqullah (Afg)","24","20","17","1","2","141.17","1","","v Zimbabwe","Bulawayo","18 Jul 2014",""
"WD Parnell (SA)","24","39","27","2","0","88.88","1","","v Zimbabwe","Bulawayo","19 Aug 2014",""
"Sohag Gazi (Ban)","24","29","26","3","0","92.30","2","","v West Indies","Basseterre","25 Aug 2014",""
"HM Amla (SA)","24","36","29","4","0","82.75","2","","v Australia","Harare","27 Aug 2014",""
"R McLaren (SA)","24","53","41","2","0","58.53","2","","v Australia","Harare","2 Sep 2014",""
"AM Rahane (India)","24","43","22","4","0","109.09","2","","v West Indies","Kochi","8 Oct 2014",""
"DG Brownlie (NZ)","24","44","28","2","1","85.71","1","","v South Africa","Mount Maunganui","21 Oct 2014",""
"Waqas Barkat (HK)","24","-","41","3","0","58.53","1","","v P.N.G.","Townsville","9 Nov 2014",""
"Saqib Ali (UAE)","24","-","29","3","0","82.75","2","","v Afghanistan","Dubai (CA)","28 Nov 2014",""
"MW Machan (Scot)","24","-","37","2","0","64.86","1","","v Afghanistan","Dubai (CA)","8 Jan 2015",""
"DA Warner (Aus)","24","41","22","3","0","109.09","2","","v India","Melbourne","18 Jan 2015",""
"AD Russell (WI)","24","18","12","4","1","200.00","2","","v South Africa","Centurion","28 Jan 2015",""
"GD Elliott (NZ)","24","52","38","1","0","63.15","2","","v Sri Lanka","Wellington","29 Jan 2015",""
"SCJ Broad (Eng)","24","21","20","2","2","120.00","2","","v Australia","Perth","1 Feb 2015",""
"TM Dilshan (SL)","24","50","41","2","0","58.53","2","","v New Zealand","Christchurch","14 Feb 2015",""
"F du Plessis (SA)","24","60","32","0","1","75.00","1","","v Zimbabwe","Hamilton","15 Feb 2015",""
"Javed Ahmadi (Afg)","24","41","23","4","0","104.34","1","","v Sri Lanka","Dunedin","22 Feb 2015",""
"RS Bopara (Eng)","23*","36","24","0","0","95.83","2","","v West Indies","North Sound","28 Feb 2014",""
"Gulbadin Naib (Afg)","23*","26","18","2","0","127.77","1","","v Zimbabwe","Bulawayo","20 Jul 2014",""
"MG Johnson (Aus)","23*","10","8","1","2","287.50","1","","v South Africa","Harare","27 Aug 2014",""
"Imran Tahir (SA)","23*","24","20","3","0","115.00","1","","v Zimbabwe","Harare","29 Aug 2014",""
"BJ Haddin (Aus)","23*","46","27","3","0","85.18","1","","v Pakistan","Sharjah","7 Oct 2014",""
"Mohammad Naveed (UAE)","23*","23","17","1","2","135.29","1","","v Zimbabwe","Nelson","19 Feb 2015",""
"Sohag Gazi (Ban)","23","23","13","0","3","176.92","1","","v Sri Lanka","Dhaka","22 Feb 2014",""
"Mominul Haque (Ban)","23","30","29","4","0","79.31","1","","v India","Fatullah","26 Feb 2014",""
"Mushfiqur Rahim (Ban)","23","73","42","1","0","54.76","2","","v Afghanistan","Fatullah","1 Mar 2014",""
"AM Rahane (India)","23","62","50","3","0","46.00","1","","v Pakistan","Dhaka","2 Mar 2014",""
"KD Karthik (India)","23","54","46","1","0","50.00","1","","v Pakistan","Dhaka","2 Mar 2014",""
"JE Root (Eng)","23","51","43","2","0","53.48","2","","v West Indies","North Sound","2 Mar 2014",""
"MN Samuels (WI)","23","56","39","0","2","58.97","2","","v England","North Sound","5 Mar 2014",""
"Rahmat Shah (Afg)","23","-","41","3","0","56.09","2","","v Hong Kong","Kuala Lumpur","1 May 2014",""
"DW Steyn (SA)","23","53","35","4","0","65.71","2","","v Sri Lanka","Pallekele","9 Jul 2014",""
"KJ Abbott (SA)","23","32","26","2","0","88.46","1","","v Zimbabwe","Bulawayo","19 Aug 2014",""
"BA Stokes (Eng)","23","30","29","3","0","79.31","2","","v India","Cardiff","27 Aug 2014",""
"FRJ Coleman (Scot)","23","-","44","3","0","52.27","1","","v Ireland","Dublin","8 Sep 2014",""
"AD Mathews (SL)","23","25","32","3","0","71.87","2","","v India","Cuttack","2 Nov 2014",""
"TM Dilshan (SL)","23","22","19","4","0","121.05","1","","v England","Hambantota","3 Dec 2014",""
"Mohammad Nabi (Afg)","23","-","43","0","0","53.48","2","","v U.A.E.","Dubai (CA)","4 Dec 2014",""
"L Ronchi (NZ)","23","44","27","4","0","85.18","1","","v Pakistan","Dubai (DSC)","8 Dec 2014",""
"Sarfraz Ahmed (Pak)","23","65","31","0","0","74.19","1","","v New Zealand","Sharjah","12 Dec 2014",""
"Asad Shafiq (Pak)","23","65","40","1","0","57.50","1","","v New Zealand","Sharjah","14 Dec 2014",""
"JC Buttler (Eng)","23","30","23","2","0","100.00","2","","v Sri Lanka","Colombo (RPS)","16 Dec 2014",""
"CJ Anderson (NZ)","23","26","20","1","1","115.00","1","","v Pakistan","Abu Dhabi","17 Dec 2014",""
"HDRL Thirimanne (SL)","23","65","50","1","1","46.00","1","","v New Zealand","Christchurch","11 Jan 2015",""
"BMAJ Mendis (SL)","23","28","25","2","1","92.00","1","","v New Zealand","Christchurch","11 Jan 2015",""
"MH Cross (Scot)","23","-","29","3","0","79.31","1","","v Afghanistan","Abu Dhabi","14 Jan 2015",""
"AT Rayudu (India)","23","76","53","2","0","43.39","1","","v England","Brisbane","20 Jan 2015",""
"AT Rayudu (India)","23","26","24","2","1","95.83","1","","v Australia","Sydney","26 Jan 2015",""
"DA Miller (SA)","23","16","9","2","2","255.55","1","","v West Indies","Centurion","28 Jan 2015",""
"Haris Sohail (Pak)","23","53","38","3","0","60.52","1","","v New Zealand","Wellington","31 Jan 2015",""
"TWM Latham (NZ)","23","42","28","5","0","82.14","2","","v Pakistan","Wellington","31 Jan 2015",""
"MR Marsh (Aus)","23","31","20","3","0","115.00","1","","v England","Melbourne","14 Feb 2015",""
"WTS Porterfield (Ire)","23","57","43","1","1","53.48","2","","v West Indies","Nelson","16 Feb 2015",""
"Mahmudullah (Ban)","23","55","46","0","0","50.00","1","","v Afghanistan","Canberra","18 Feb 2015",""
"DR Smith (WI)","23","34","27","4","0","85.18","1","","v Pakistan","Christchurch","21 Feb 2015",""
"FDM Karunaratne (SL)","23","47","32","3","0","71.87","2","","v Afghanistan","Dunedin","22 Feb 2015",""
"SMA Priyanjan (SL)","22*","26","19","4","0","115.78","2","","v Bangladesh","Dhaka","22 Feb 2014",""
"RA Jadeja (India)","22*","48","27","0","1","81.48","1","","v Sri Lanka","Fatullah","28 Feb 2014",""
"Krishna Chandran (UAE)","22*","-","36","2","0","61.11","2","","v Afghanistan","Kuala Lumpur","2 May 2014",""
"R McLaren (SA)","22*","20","18","2","0","122.22","1","","v Sri Lanka","Colombo (RPS)","6 Jul 2014",""
"JP Duminy (SA)","22*","17","11","2","1","200.00","1","","v Zimbabwe","Bulawayo","17 Aug 2014",""
"JO Holder (WI)","22*","23","15","3","0","146.66","2","","v Bangladesh","St George's","20 Aug 2014",""
"M Morkel (SA)","22*","39","21","3","0","104.76","2","","v Australia","Perth","14 Nov 2014",""
"DA Miller (SA)","22*","42","26","3","0","84.61","2","","v Australia","Perth","16 Nov 2014",""
"TWM Latham (NZ)","22*","18","14","4","0","157.14","1","","v Pakistan","Abu Dhabi","19 Dec 2014",""
"JH Davey (Scot)","22*","-","17","4","0","129.41","1","","v Afghanistan","Dubai (CA)","8 Jan 2015",""
"KJ O'Brien (Ire)","22","-","35","0","0","62.85","1","","v West Indies","Kingston","23 Feb 2014",""
"AM Rahane (India)","22","40","27","1","0","81.48","1","","v Sri Lanka","Fatullah","28 Feb 2014",""
"Mohammad Shahzad (Afg)","22","24","28","2","1","78.57","1","","v India","Dhaka","5 Mar 2014",""
"Shaiman Anwar (UAE)","22","-","43","2","1","51.16","2","","v Hong Kong","Kuala Lumpur","4 May 2014",""
"Nasir Hossain (Ban)","22","24","20","4","0","110.00","1","","v India","Dhaka","15 Jun 2014",""
"HDRL Thirimanne (SL)","22","46","37","1","0","59.45","2","","v South Africa","Hambantota","12 Jul 2014",""
"Rahmat Shah (Afg)","22","68","32","2","0","68.75","1","","v Zimbabwe","Bulawayo","20 Jul 2014",""
"Mohammad Nabi (Afg)","22","42","37","2","1","59.45","1","","v Zimbabwe","Bulawayo","20 Jul 2014",""
"E Chigumbura (Zim)","22","45","29","3","0","75.86","2","","v South Africa","Harare","29 Aug 2014",""
"Sikandar Raza (Zim)","22","50","32","4","0","68.75","2","","v Australia","Harare","31 Aug 2014",""
"AC Evans (Scot)","22","-","24","2","0","91.66","1","","v Ireland","Dublin","10 Sep 2014",""
"SR Thompson (Ire)","22","-","31","3","0","70.96","1","","v Scotland","Dublin","12 Sep 2014",""
"V Kohli (India)","22","34","21","2","0","104.76","1","","v Sri Lanka","Cuttack","2 Nov 2014",""
"Anshuman Rath (HK)","22","-","38","2","0","57.89","1","","v P.N.G.","Townsville","8 Nov 2014",""
"GO Jones (PNG)","22","-","20","2","0","110.00","2","","v Hong Kong","Townsville","8 Nov 2014",""
"JJ Atkinson (HK)","22","-","35","2","0","62.85","1","","v P.N.G.","Townsville","9 Nov 2014",""
"Imran Tahir (SA)","22","29","22","4","0","100.00","2","","v Australia","Perth","14 Nov 2014",""
"MR Marsh (Aus)","22","13","13","2","0","169.23","1","","v South Africa","Canberra","19 Nov 2014",""
"F Behardien (SA)","22","54","23","2","0","95.65","1","","v Australia","Melbourne","21 Nov 2014",""
"AJ Finch (Aus)","22","59","37","2","0","59.45","2","","v South Africa","Melbourne","21 Nov 2014",""
"Sabbir Rahman (Ban)","22","25","13","3","0","169.23","1","","v Zimbabwe","Dhaka","26 Nov 2014",""
"AN Cook (Eng)","22","36","37","3","0","59.45","1","","v Sri Lanka","Colombo (RPS)","29 Nov 2014",""
"KTGD Prasad (SL)","22","12","8","2","2","275.00","1","","v England","Hambantota","3 Dec 2014",""
"RS Bopara (Eng)","22","47","31","0","0","70.96","1","","v Sri Lanka","Colombo (RPS)","7 Dec 2014",""
"JC Buttler (Eng)","22","31","26","2","0","84.61","2","","v Sri Lanka","Pallekele","13 Dec 2014",""
"KJ Coetzer (Scot)","22","-","35","4","0","62.85","1","","v Afghanistan","Dubai (CA)","8 Jan 2015",""
"NJ O'Brien (Ire)","22","-","33","2","0","66.66","2","","v Afghanistan","Dubai (DSC)","10 Jan 2015",""
"MM Ali (Eng)","22","41","21","2","1","104.76","1","","v Australia","Sydney","16 Jan 2015",""
"DA Warner (Aus)","22","34","18","3","0","122.22","1","","v England","Melbourne","14 Feb 2015",""
"Shahid Afridi (Pak)","22","39","22","1","1","100.00","2","","v India","Adelaide","15 Feb 2015",""
"AR Berenger (UAE)","22","46","36","3","0","61.11","1","","v Zimbabwe","Nelson","19 Feb 2015",""
"MJ Guptill (NZ)","22","48","22","3","0","100.00","2","","v England","Wellington","20 Feb 2015",""
"HM Amla (SA)","22","50","28","2","0","78.57","2","","v India","Melbourne","22 Feb 2015",""
"DA Miller (SA)","22","45","23","2","0","95.65","2","","v India","Melbourne","22 Feb 2015",""
