"Player.Name","Home.Country","Opposite.Country","runs","Fours","Six"
"CJ Anderson","New Zealand","Sri Lanka",47,2,2
"L Ronchi","New Zealand","Sri Lanka",47,4,1
"Ahmed Shehzad","Pakistan","India",47,5,0
"BRM Taylor","Zimbabwe","U.A.E.",47,5,1
"BJ Haddin","Australia","Zimbabwe",46,2,2
"SC Williams","Zimbabwe","South Africa",46,3,1
"AN Cook","England","India",46,6,0
"Umar Akmal","Pakistan","Australia",46,6,0
"DR Smith","West Indies","India",46,4,2
"AD Russell","West Indies","India",46,6,3
"DA Warner","Australia","South Africa",46,1,3
"Asghar Stanikzai","Afghanistan","U.A.E.",46,1,4
"KS Williamson","New Zealand","Pakistan",46,6,0
"MM Ali","England","Australia",46,3,3
"AD Mathews","Sri Lanka","New Zealand",46,5,0
"Sikandar Raza","Zimbabwe","U.A.E.",46,6,1
"JE Root","England","New Zealand",46,3,0
"V Kohli","India","South Africa",46,3,0
"AD Mathews","Sri Lanka","Afghanistan",45,4,0
"JE Root","England","Sri Lanka",45,2,1
"DA Miller","South Africa","Zimbabwe",45,2,2
"AM Rahane","India","England",45,6,1
"DA Miller","South Africa","Australia",45,3,0
"Najibullah Zadran","Afghanistan","Ireland",45,3,3
"HDRL Thirimanne","Sri Lanka","New Zealand",45,3,1
"SE Marsh","Australia","England",45,6,0
"Misbah-ul-Haq","Pakistan","New Zealand",45,2,1
"Khurram Khan","U.A.E","Zimbabwe",45,6,0
"Shakib Al Hasan","Bangladesh","Pakistan",44,6,2
"Sabbir Rahman","Bangladesh","Zimbabwe",44,3,3
"Noor Ali Zadran","Afghanistan","Pakistan",44,7,0
"MM Ali","England","West Indies",44,3,0
"PC de Silva","Sri Lanka","Bangladesh",44,5,0
"AN Cook","England","Scotland",44,4,0
"Anamul Haque","Bangladesh","India",44,7,0
"AN Cook","England","India",44,4,0
"JE Root","England","India",44,2,0
"DPMD Jayawardene","Sri Lanka","England",44,4,0
"Asghar Stanikzai","Afghanistan","Ireland",44,1,0
"TM Dilshan","Sri Lanka","New Zealand",44,4,0
"GD Elliott","New Zealand","Sri Lanka",44,3,0
"STR Binny","India","England",44,3,2
"Mohammad Nabi","Afghanistan","Bangladesh",44,5,0
"AD Mathews","Sri Lanka","Afghanistan",44,2,0
"Samiullah Shenwari","Afghanistan","Hong Kong",43,5,1
"SMA Priyanjan","Sri Lanka","England",43,2,2
"JE Root","England","Sri Lanka",43,1,0
"Noor Ali Zadran","Afghanistan","Zimbabwe",43,5,0
"BRM Taylor","Zimbabwe","Afghanistan",43,5,0
"Usman Ghani","Afghanistan","Zimbabwe",43,4,1
"DA Warner","Australia","Pakistan",43,5,0
"DPMD Jayawardene","Sri Lanka","India",43,6,1
"Krishna Chandran","U.A.E","Afghanistan",43,3,1
"JP Duminy","South Africa","West Indies",43,3,0
"N Deonarine","West Indies","South Africa",43,5,1
"KMDN Kulasekara","Sri Lanka","Ireland",42,3,2
"AD Mathews","Sri Lanka","England",42,6,0
"Sikandar Raza","Zimbabwe","Afghanistan",42,6,0
"AD Russell","West Indies","Pakistan",42,3,4
"Ahmed Shehzad","Pakistan","India",42,6,0
"MDKJ Perera","Sri Lanka","Pakistan",42,6,1
"MA Leask","Scotland","England",42,2,5
"GS Ballance","England","Sri Lanka",42,2,0
"Mohammad Nabi","Afghanistan","Zimbabwe",42,1,2
"AD Hales","England","India",42,5,0
"JC Buttler","England","India",42,3,0
"SK Raina","India","England",42,5,0
"Aizaz Khan","Honk Kong","P.N.G.",42,3,0
"Haseeb Amjad","Honk Kong","P.N.G.",42,3,4
"H Masakadza","Zimbabwe","Bangladesh",42,7,0
